[5.62, 0.52, 0.0, 7.76, 0.0, 5.62, 0.0, 5.62],
[5.62, 0.52, 5.62, 0.0, 0.0, 5.62, 0.0, 5.62],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[5.62, 0.52, 5.62, 7.76, 0.0, 0.0, 0.0, 5.62],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[5.62, 0.52, 5.62, 7.76, 0.0, 5.62, 0.0, 0.0],
],
[
[0.0, 6.41, 8.22, 8.22, 0.0, 8.22, 0.0, 8.22],
[7.08, 0.0, 7.08, 7.08, 0.0, 7.08, 0.0, 7.08],
[4.56, 8.91, 0.0, 4.56, 0.0, 4.56, 0.0, 4.56],
[8.22, 6.41, 8.22, 0.0, 0.0, 8.22, 0.0, 8.22],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[3.65, 3.06, 3.65, 3.65, 0.0, 0.0, 0.0, 3.65],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[4.3, 4.57, 4.3, 4.3, 0.0, 4.3, 0.0, 0.0],
],
[
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
],
[
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.98, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
],
[
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 8.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
],
[
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 3.85, 0.0, 3.85, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 3.85, 0.0, 0.0, 0.0, 0.0, 3.85, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 3.85, 0.0, 0.0, 3.85, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
],
];

init = [
[8.76, 0.0, 0.0, 0.0, 0.0, 0.0, 2.49, 0.0],
[0.0, 0.0, 6.18, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 7.76, 0.0, 5.62, 0.0, 5.62],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 4.21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],
[0.0, 0.0, 0.0, 0.0, 5.13, 0.0, 0.0, 0.0],
];

oj = [
4, 5, 3, 2, 3, 3, 3, 3];

oi = [
3, 3, 6, 6, 1, 2, 2, 3];

max_oj = 5;

Ops = [
[<0,6.19>, <1,8.5>, <2,5.13>, <3,3.29>, <-1,-1>],
[<6,6.33>, <3,1.1>, <2,1.09>, <0,0.8>, <7,6.8>, ],
[<1,8.5>, <2,5.13>, <3,0.47>, <-1,-1>, <-1,-1>],
[<2,3.49>, <3,3.29>, <-1,-1>, <-1,-1>, <-1,-1>],
[<7,6.8>, <5,2.03>, <6,7.51>, <-1,-1>, <-1,-1>],
[<2,5.13>, <3,8.89>, <1,1.51>, <-1,-1>, <-1,-1>],
[<0,1.34>, <7,6.8>, <5,0.0>, <-1,-1>, <-1,-1>],
[<2,5.13>, <3,1.49>, <4,4.34>, <-1,-1>, <-1,-1>],
];

J = [
[0, 1, 6, -1, -1, -1, -1, -1],
[0, 2, 5, -1, -1, -1, -1, -1],
[0, 1, 2, 3, 5, 7, -1, -1],
[0, 1, 2, 3, 5, 7, -1, -1],
[7, -1, -1, -1, -1, -1, -1, -1],
[4, 6, -1, -1, -1, -1, -1, -1],
[1, 4, -1, -1, -1, -1, -1, -1],
[1, 4, 6, -1, -1, -1, -1, -1],
];

